,0,SportsTweetsc,SportsTweetst,Stumbleupon
0,0.5394490624751247,0.9332565252573828,0.786722870110283,0.7490238910059269
1,0.6313603701175877,0.9805806756909202,0.8338038269347895,0.8201662469723274
2,0.6322256735735915,0.9579389640386956,0.7412135929416336,0.7924058156930615
3,0.605353608606566,0.9524854660660276,0.7743342275367655,0.8202854485203694
4,0.7097208632298362,0.9473185741735062,0.774115458150414,0.7260384169902695
5,0.5875696513930031,0.9770084209183945,0.7761320457119087,0.7671124679351382
6,0.5899651703920917,0.9363291775690444,0.8266498755116037,0.7559289460184545
7,0.6328613424905954,0.9751632664464013,0.8283081512405069,0.7790672607799757
8,0.5808923286082348,0.9682458365518543,0.7280937315536448,0.7899610506464616
9,0.6179143806533246,0.9800644447124248,0.7913675671030664,0.8657406674940581
